metric,value,min,max,s1,s2,s3,s4,s5,s6,s7,s8
activationRate_safety_net_elf_tiki_taka,60.6771,1.0000,,58.3333,63.5417,60.8333,58.7500,62.7083,57.0833,61.4583,62.7083
activationRate_safety_net_human_counter,48.6979,1.0000,,45.6250,49.7917,46.2500,51.8750,49.5833,49.5833,45.4167,51.4583
activationRate_safety_net_human_wall,32.8385,1.0000,,32.2917,35.0000,32.5000,32.0833,32.5000,30.2083,34.5833,33.5417
activationRate_safety_net_orc_giants,55.6510,1.0000,,55.4167,56.0417,57.2917,53.5417,54.5833,53.7500,59.3750,55.2083
activationRate_safety_net_orc_mob,57.1615,1.0000,,61.2500,55.6250,56.0417,57.2917,56.8750,56.6667,58.5417,55.0000
activationRate_safety_net_orc_violence,57.6042,1.0000,,59.3750,58.3333,59.1667,55.8333,57.5000,56.8750,58.7500,55.0000
activationRate_safety_net_undead_grind,49.5573,1.0000,,51.8750,50.4167,48.7500,47.7083,50.6250,47.7083,51.0417,48.3333
activationRate_scar_tissue_orc_violence,12.7604,1.0000,,12.5000,14.3750,13.3333,10.2083,12.2917,13.7500,11.6667,13.9583
activationRate_squad_player_human_counter,99.6875,1.0000,,100.0000,100.0000,100.0000,100.0000,97.5000,100.0000,100.0000,100.0000
activationRate_steady_hands_human_scattered,84.4792,1.0000,,85.6250,85.6250,82.0833,83.5417,83.7500,82.5000,87.0833,85.6250
activationRate_sweeper_keeper_dwarf_fortress,49.2969,1.0000,,52.0833,46.2500,52.7083,47.2917,51.4583,50.2083,45.2083,49.1667
activationRate_sweeper_keeper_elf_bulwark,54.6875,1.0000,,56.0417,49.5833,57.9167,55.8333,57.2917,54.1667,50.2083,56.4583
activationRate_sweeper_keeper_human_counter,50.7812,1.0000,,45.4167,52.5000,51.2500,48.1250,50.2083,51.4583,49.3750,57.9167
activationRate_sweeper_keeper_human_wall,36.9792,1.0000,,37.2917,37.7083,35.4167,33.5417,36.4583,34.7917,42.2917,38.3333
activationRate_sweeper_keeper_orc_giants,63.2031,1.0000,,66.4583,65.4167,60.0000,65.6250,60.6250,63.1250,62.0833,62.2917
activationRate_sweeper_keeper_orc_mob,65.3646,1.0000,,68.3333,67.0833,64.7917,66.0417,64.5833,63.5417,65.4167,63.1250
activationRate_sweeper_keeper_orc_violence,64.9740,1.0000,,68.3333,68.9583,68.3333,62.9167,63.1250,58.9583,66.2500,62.9167
activationRate_sweeper_keeper_undead_grind,52.5781,1.0000,,50.4167,51.0417,48.1250,56.0417,55.2083,51.8750,51.4583,56.4583
activationRate_back_to_back,10.4688,1.0000,,7.7083,17.2917,8.9583,6.0417,10.4167,15.0000,9.7917,8.5417
activationRate_battle_reader,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_box_predator,82.9688,1.0000,,82.0833,81.8750,83.7500,82.9167,83.3333,83.9583,82.5000,83.3333
activationRate_bruised_knuckles,89.9740,1.0000,,87.5000,95.2083,92.2917,85.6250,90.6250,90.0000,88.5417,90.0000
activationRate_brute_boots,98.7500,1.0000,,97.5000,100.0000,97.5000,95.0000,100.0000,100.0000,100.0000,100.0000
activationRate_bulwark_stance,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_center_conductor,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_clean_sheet_legacy,54.0625,1.0000,,57.7083,50.4167,57.7083,57.0833,51.0417,53.1250,51.4583,53.9583
activationRate_cold_focus,61.2760,1.0000,,72.5000,50.6250,60.0000,66.4583,58.3333,67.0833,65.2083,50.0000
activationRate_comeback_spirit,48.5156,1.0000,,47.9167,46.8750,47.9167,49.3750,44.7917,48.3333,51.0417,51.8750
activationRate_covering_shadow,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_crowd_control,1.7969,1.0000,,1.0417,2.9167,2.9167,2.0833,1.0417,1.6667,0.8333,1.8750
activationRate_deathless_march,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_diagonal_press,79.6354,1.0000,,79.3750,78.5417,80.2083,77.5000,75.2083,80.0000,77.9167,88.3333
activationRate_duelist,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_fine_touch,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_first_touch_school,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_flank_specialist,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_forward_line,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_game_management,34.9219,1.0000,,33.9583,35.8333,34.7917,37.9167,33.3333,34.3750,32.0833,37.0833
activationRate_gentle_giant,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_high_press_trigger,99.3490,1.0000,,99.1667,99.7917,98.9583,99.1667,99.1667,99.3750,99.5833,99.5833
activationRate_home_ref,10.9375,1.0000,,14.1667,8.9583,11.0417,8.7500,10.8333,11.4583,8.1250,14.1667
activationRate_iron_gate,26.7188,1.0000,,26.4583,26.0417,24.3750,24.7917,28.3333,25.6250,29.1667,28.9583
activationRate_iron_lungs,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_last_ditch,65.7031,1.0000,,67.5000,64.5833,58.3333,63.9583,68.7500,69.5833,69.3750,63.5417
activationRate_light_feet,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_long_leash_legacy,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_long_range_menace,14.1927,1.0000,,11.4583,12.5000,15.6250,13.5417,12.2917,13.5417,16.2500,18.3333
activationRate_mob_instigator,22.5000,1.0000,,21.6667,22.5000,23.7500,20.8333,20.0000,23.3333,22.7083,25.2083
activationRate_natural_leader,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_own_third_anchor,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_pit_veteran,67.1094,1.0000,,68.9583,67.5000,70.6250,58.9583,68.9583,68.9583,67.5000,65.4167
activationRate_pivot_duo,100.0000,1.0000,,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000,100.0000
activationRate_poacher_instinct,59.8438,1.0000,,57.5000,59.1667,61.0417,59.1667,58.7500,61.6667,61.8750,59.5833
activationRate_road_warrior,6.0938,1.0000,,4.1667,6.6667,3.9583,8.9583,5.4167,7.2917,5.4167,6.8750
activationRate_safety_net,61.0417,1.0000,,61.2500,63.5417,60.8333,58.7500,62.7083,57.0833,61.4583,62.7083
activationRate_scar_tissue,12.7604,1.0000,,12.5000,14.3750,13.3333,10.2083,12.2917,13.7500,11.6667,13.9583
activationRate_squad_player,99.6875,1.0000,,100.0000,100.0000,100.0000,100.0000,97.5000,100.0000,100.0000,100.0000
activationRate_steady_hands,84.4792,1.0000,,85.6250,85.6250,82.0833,83.5417,83.7500,82.5000,87.0833,85.6250
activationRate_sweeper_keeper,66.1458,1.0000,,68.3333,68.9583,68.3333,66.0417,64.5833,63.5417,66.2500,63.1250
noDeadPerks,0.1250,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
rf069_filler,55.8824,52.0000,68.0000,55.8824,55.8824,55.8824,55.8824,55.8824,55.8824,55.8824,55.8824
rf069_conditional,31.3725,22.0000,38.0000,31.3725,31.3725,31.3725,31.3725,31.3725,31.3725,31.3725,31.3725
rf069_ruleBreaker,12.7451,2.0000,18.0000,12.7451,12.7451,12.7451,12.7451,12.7451,12.7451,12.7451,12.7451
